# SAVED: date 08/19/2014 time 16:29:42
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01100000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
156.000000,156.000000,254.064000,15.000000,-,30.864883,1375.074387,-,-,-,-,-,
328.000000,172.000000,253.032000,15.000000,-,28.824374,1378.762484,-,-,-,-,-,
500.000000,172.000000,252.000000,15.000000,-,30.170746,1371.380091,-,-,-,-,-,
671.000000,171.000000,250.974000,15.000000,-,29.356938,1365.655899,-,-,-,-,-,
843.000000,172.000000,249.942000,15.000000,-,31.026445,1369.793415,-,-,-,-,-,
1014.000000,171.000000,248.916000,15.000000,-,32.372817,1376.475334,-,-,-,-,-,
1202.000000,188.000000,247.788000,15.000000,-,34.880064,1372.565508,-,-,-,-,-,
1389.000000,187.000000,246.666000,15.000000,-,34.957848,1372.319937,-,-,-,-,-,
1576.000000,187.000000,245.544000,15.000000,-,36.477759,1367.260695,-,-,-,-,-,
1763.000000,187.000000,244.422000,15.000000,-,37.782244,1372.356176,-,-,-,-,-,
1950.000000,187.000000,243.300000,15.000000,-,39.589383,1368.799448,-,-,-,-,-,
2138.000000,188.000000,242.172000,15.000000,-,39.266251,1368.553877,-,-,-,-,-,
2309.000000,171.000000,241.146000,15.000000,-,42.371891,1369.847298,-,-,-,-,-,
2496.000000,187.000000,240.024000,15.000000,-,44.681668,1380.582571,-,-,-,-,-,
2684.000000,188.000000,238.896000,15.000000,-,47.565907,1373.110533,-,-,-,-,-,
2871.000000,187.000000,237.774000,15.000000,-,50.575793,1368.003130,-,-,-,-,-,
3058.000000,187.000000,236.652000,15.000000,-,50.366357,1367.571831,-,-,-,-,-,
3230.000000,172.000000,235.620000,15.000000,-,52.167505,1367.595911,-,-,-,-,-,
3417.000000,187.000000,234.498000,15.000000,-,53.106986,1368.374109,-,-,-,-,-,
3604.000000,187.000000,233.376000,15.000000,-,57.128146,1384.438515,-,-,-,-,-,
3791.000000,187.000000,232.254000,15.000000,-,59.031032,1371.134520,-,-,-,-,-,
3978.000000,187.000000,231.132000,15.000000,-,61.795585,1374.727011,-,-,-,-,-,
4166.000000,188.000000,230.004000,15.000000,-,64.027563,1375.325918,-,-,-,-,-,
4337.000000,171.000000,228.978000,15.000000,-,65.044820,1329.006672,-,-,-,-,-,
4524.000000,187.000000,227.856000,15.000000,-,71.465537,1357.848167,-,-,-,-,-,
4712.000000,188.000000,226.728000,15.000000,-,76.408222,1379.301310,-,-,-,-,-,
4899.000000,187.000000,225.606000,15.000000,-,75.343087,1365.709782,-,-,-,-,-,
