# SAVED: date 08/19/2014 time 14:16:51
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*01100000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
172.000000,172.000000,49.656000,15.000000,-,61.616063,34109.062195,-,-,-,-,-,
359.000000,187.000000,49.282000,15.000000,-,63.327454,34101.081848,-,-,-,-,-,
530.000000,171.000000,48.940000,15.000000,-,64.542189,34097.198486,-,-,-,-,-,
702.000000,172.000000,48.596000,15.000000,-,62.699154,34097.541809,-,-,-,-,-,
874.000000,172.000000,48.252000,15.000000,-,64.631939,34123.756409,-,-,-,-,-,
1045.000000,171.000000,47.910000,15.000000,-,64.350694,34088.562012,-,-,-,-,-,
1217.000000,172.000000,47.566000,15.000000,-,67.181066,34100.112915,-,-,-,-,-,
1388.000000,171.000000,47.224000,15.000000,-,65.320075,34083.808899,-,-,-,-,-,
1560.000000,172.000000,46.880000,15.000000,-,67.438379,34101.844788,-,-,-,-,-,
1732.000000,172.000000,46.536000,15.000000,-,66.325366,34090.530396,-,-,-,-,-,
1903.000000,171.000000,46.194000,15.000000,-,67.210987,34080.833435,-,-,-,-,-,
2075.000000,172.000000,45.850000,15.000000,-,66.857934,34100.502014,-,-,-,-,-,
2246.000000,171.000000,45.508000,15.000000,-,69.628492,34095.191956,-,-,-,-,-,
2418.000000,172.000000,45.164000,15.000000,-,70.256785,34093.978882,-,-,-,-,-,
2590.000000,172.000000,44.820000,15.000000,-,69.622502,34079.414368,-,-,-,-,-,
2761.000000,171.000000,44.478000,15.000000,-,71.028709,34100.410461,-,-,-,-,-,
2933.000000,172.000000,44.134000,15.000000,-,71.627095,34106.742859,-,-,-,-,-,
3104.000000,171.000000,43.792000,15.000000,-,72.315246,34083.641052,-,-,-,-,-,
3276.000000,172.000000,43.448000,15.000000,-,72.452873,34103.851318,-,-,-,-,-,
3448.000000,172.000000,43.104000,15.000000,-,73.781297,34092.964172,-,-,-,-,-,
3619.000000,171.000000,42.762000,15.000000,-,73.494077,34092.651367,-,-,-,-,-,
3791.000000,172.000000,42.418000,15.000000,-,74.918240,34109.497070,-,-,-,-,-,
3962.000000,171.000000,42.076000,15.000000,-,75.702131,34094.261169,-,-,-,-,-,
4134.000000,172.000000,41.732000,15.000000,-,75.025946,34103.706360,-,-,-,-,-,
4306.000000,172.000000,41.388000,15.000000,-,75.815812,34108.940125,-,-,-,-,-,
4477.000000,171.000000,41.046000,15.000000,-,78.502581,34102.737427,-,-,-,-,-,
4649.000000,172.000000,40.702000,15.000000,-,77.694759,34105.720520,-,-,-,-,-,
4820.000000,171.000000,40.360000,15.000000,-,77.928126,34088.645935,-,-,-,-,-,
4992.000000,172.000000,40.016000,15.000000,-,77.874273,34082.695007,-,-,-,-,-,
5164.000000,172.000000,39.672000,15.000000,-,79.352304,34071.594238,-,-,-,-,-,
5335.000000,171.000000,39.330000,15.000000,-,78.448728,34076.431274,-,-,-,-,-,
5507.000000,172.000000,38.986000,15.000000,-,80.483258,34108.650208,-,-,-,-,-,
5678.000000,171.000000,38.644000,15.000000,-,82.057014,34102.828979,-,-,-,-,-,
5850.000000,172.000000,38.300000,15.000000,-,84.031701,34093.643188,-,-,-,-,-,
6022.000000,172.000000,37.956000,15.000000,-,84.348843,34092.132568,-,-,-,-,-,
6193.000000,171.000000,37.614000,15.000000,-,85.384056,34108.619690,-,-,-,-,-,
6365.000000,172.000000,37.270000,15.000000,-,86.072192,34077.598572,-,-,-,-,-,
6536.000000,171.000000,36.928000,15.000000,-,87.412596,34078.987122,-,-,-,-,-,
6708.000000,172.000000,36.584000,15.000000,-,84.600165,34074.737549,-,-,-,-,-,
6880.000000,172.000000,36.240000,15.000000,-,87.053552,34064.712524,-,-,-,-,-,
7051.000000,171.000000,35.898000,15.000000,-,87.041587,34076.995850,-,-,-,-,-,
7223.000000,172.000000,35.554000,15.000000,-,89.542851,34103.027344,-,-,-,-,-,
7394.000000,171.000000,35.212000,15.000000,-,90.225011,34087.303162,-,-,-,-,-,
7566.000000,172.000000,34.868000,15.000000,-,91.266215,34058.639526,-,-,-,-,-,
7738.000000,172.000000,34.524000,15.000000,-,94.874486,34057.395935,-,-,-,-,-,
7909.000000,171.000000,34.182000,15.000000,-,94.012812,34106.719971,-,-,-,-,-,
8081.000000,172.000000,33.838000,15.000000,-,94.335943,34083.267212,-,-,-,-,-,
8237.000000,156.000000,33.526000,15.000000,-,95.819950,34106.895447,-,-,-,-,-,
8408.000000,171.000000,33.184000,15.000000,-,97.962186,34112.930298,-,-,-,-,-,
8564.000000,156.000000,32.872000,15.000000,-,98.907635,34112.602234,-,-,-,-,-,
8736.000000,172.000000,32.528000,15.000000,-,100.206137,34104.766846,-,-,-,-,-,
8908.000000,172.000000,32.184000,15.000000,-,100.966081,34057.617188,-,-,-,-,-,
9079.000000,171.000000,31.842000,15.000000,-,101.726055,34097.557068,-,-,-,-,-,
9251.000000,172.000000,31.498000,15.000000,-,101.672187,34092.422485,-,-,-,-,-,
9422.000000,171.000000,31.156000,15.000000,-,104.293123,34071.868896,-,-,-,-,-,
9594.000000,172.000000,30.812000,15.000000,-,107.859537,34074.623108,-,-,-,-,-,
9766.000000,172.000000,30.468000,15.000000,-,105.950683,34070.854187,-,-,-,-,-,
9937.000000,171.000000,30.126000,15.000000,-,109.612808,34083.351135,-,-,-,-,-,
10109.000000,172.000000,29.782000,15.000000,-,110.408664,34110.107422,-,-,-,-,-,
10280.000000,171.000000,29.440000,15.000000,-,111.868739,34082.496643,-,-,-,-,-,
