# SAVED: date 08/19/2014 time 14:12:07
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*01100000
*PDD*1

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
234.000000,234.000000,0.000000,0.000000,-,15637.622833,34110.130310,-,-,-,-,-,
234.000000,234.000000,-0.000000,1.000000,-,15752.332687,34095.138550,-,-,-,-,-,
234.000000,234.000000,0.000000,2.000000,-,15884.012222,34102.615356,-,-,-,-,-,
234.000000,234.000000,-0.000000,3.000000,-,16129.486084,34120.796204,-,-,-,-,-,
250.000000,250.000000,0.000000,4.000000,-,16781.955719,34112.052917,-,-,-,-,-,
234.000000,234.000000,-0.000000,5.000000,-,19758.140564,34100.891113,-,-,-,-,-,
234.000000,234.000000,0.000000,6.000000,-,20457.687378,34115.264893,-,-,-,-,-,
250.000000,250.000000,-0.000000,7.000000,-,20935.527802,34086.532593,-,-,-,-,-,
234.000000,234.000000,0.000000,8.000000,-,21228.862762,34116.691589,-,-,-,-,-,
234.000000,234.000000,-0.000000,9.000000,-,21404.148102,34078.392029,-,-,-,-,-,
234.000000,234.000000,0.000000,10.000000,-,21472.591400,34095.481873,-,-,-,-,-,
234.000000,234.000000,-0.000000,11.000000,-,21490.013123,34037.765503,-,-,-,-,-,
234.000000,234.000000,0.000000,12.000000,-,21452.995300,34080.566406,-,-,-,-,-,
234.000000,234.000000,-0.000000,13.000000,-,21391.780853,34115.669250,-,-,-,-,-,
234.000000,234.000000,0.000000,14.000000,-,21309.349060,34093.582153,-,-,-,-,-,
234.000000,234.000000,-0.000000,15.000000,-,21201.782227,34061.210632,-,-,-,-,-,
234.000000,234.000000,0.000000,16.000000,-,21069.999695,34055.084229,-,-,-,-,-,
234.000000,234.000000,-0.000000,17.000000,-,20959.926605,34103.904724,-,-,-,-,-,
234.000000,234.000000,0.000000,18.000000,-,20843.025208,34080.680847,-,-,-,-,-,
234.000000,234.000000,-0.000000,19.000000,-,20704.383850,34075.996399,-,-,-,-,-,
234.000000,234.000000,0.000000,20.000000,-,20554.092407,34083.091736,-,-,-,-,-,
234.000000,234.000000,-0.000000,30.000000,-,19205.509186,34077.758789,-,-,-,-,-,
234.000000,234.000000,0.000000,40.000000,-,17908.409119,34062.423706,-,-,-,-,-,
234.000000,234.000000,-0.000000,50.000000,-,16664.756775,34112.655640,-,-,-,-,-,
234.000000,234.000000,0.000000,60.000000,-,15522.138596,34052.780151,-,-,-,-,-,
234.000000,234.000000,-0.000000,70.000000,-,14426.465988,34060.157776,-,-,-,-,-,
234.000000,234.000000,0.000000,80.000000,-,13419.807434,34074.913025,-,-,-,-,-,
249.000000,249.000000,-0.000000,90.000000,-,12504.039764,34056.602478,-,-,-,-,-,
249.000000,249.000000,0.000000,100.000000,-,11653.148651,34036.071777,-,-,-,-,-,
234.000000,234.000000,-0.000000,110.000000,-,10835.264206,34065.238953,-,-,-,-,-,
234.000000,234.000000,0.000000,120.000000,-,10118.316650,34051.284790,-,-,-,-,-,
234.000000,234.000000,-0.000000,130.000000,-,9424.844742,34083.419800,-,-,-,-,-,
234.000000,234.000000,0.000000,140.000000,-,8782.695770,34074.958801,-,-,-,-,-,
234.000000,234.000000,-0.000000,150.000000,-,8213.592529,34079.666138,-,-,-,-,-,
234.000000,234.000000,0.000000,160.000000,-,7660.013199,34066.261292,-,-,-,-,-,
234.000000,234.000000,-0.000000,170.000000,-,7152.663231,34061.149597,-,-,-,-,-,
234.000000,234.000000,0.000000,180.000000,-,6680.367470,34048.484802,-,-,-,-,-,
234.000000,234.000000,-0.000000,190.000000,-,6240.456581,34063.926697,-,-,-,-,-,
250.000000,250.000000,0.000000,200.000000,-,5824.743271,34049.560547,-,-,-,-,-,
234.000000,234.000000,-0.000000,210.000000,-,5439.393044,34058.097839,-,-,-,-,-,
234.000000,234.000000,0.000000,220.000000,-,5099.711418,34081.420898,-,-,-,-,-,
