# Saved: 07-Mar-2013 10:33:50
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,-95,15,0.00099351,1,-,-,-,-,-,-,
0,0,-94.9,15,0.00099562,1,-,-,-,-,-,-,
0,0,-94.8,15,0.00099813,1,-,-,-,-,-,-,
0,0,-94.7,15,0.00099854,1,-,-,-,-,-,-,
0,0,-94.6,15,0.0010019,1,-,-,-,-,-,-,
0,0,-94.5,15,0.0010043,1,-,-,-,-,-,-,
0,0,-94.4,15,0.0010076,1,-,-,-,-,-,-,
0,0,-94.3,15,0.001012,1,-,-,-,-,-,-,
0,0,-94.2,15,0.0010107,1,-,-,-,-,-,-,
0,0,-94.1,15,0.0010103,1,-,-,-,-,-,-,
0,0,-94,15,0.0010101,1,-,-,-,-,-,-,
0,0,-93.9,15,0.0010103,1,-,-,-,-,-,-,
0,0,-93.8,15,0.0010128,1,-,-,-,-,-,-,
0,0,-93.7,15,0.0010142,1,-,-,-,-,-,-,
0,0,-93.6,15,0.0010156,1,-,-,-,-,-,-,
0,0,-93.5,15,0.0010167,1,-,-,-,-,-,-,
0,0,-93.4,15,0.0010173,1,-,-,-,-,-,-,
0,0,-93.3,15,0.0010154,1,-,-,-,-,-,-,
0,0,-93.2,15,0.0010122,1,-,-,-,-,-,-,
0,0,-93.1,15,0.0010113,1,-,-,-,-,-,-,
0,0,-93,15,0.0010119,1,-,-,-,-,-,-,
0,0,-92.9,15,0.0010133,1,-,-,-,-,-,-,
0,0,-92.8,15,0.0010135,1,-,-,-,-,-,-,
0,0,-92.7,15,0.0010141,1,-,-,-,-,-,-,
0,0,-92.6,15,0.0010131,1,-,-,-,-,-,-,
0,0,-92.5,15,0.0010151,1,-,-,-,-,-,-,
0,0,-92.4,15,0.0010207,1,-,-,-,-,-,-,
0,0,-92.3,15,0.0010279,1,-,-,-,-,-,-,
0,0,-92.2,15,0.0010377,1,-,-,-,-,-,-,
0,0,-92.1,15,0.0010416,1,-,-,-,-,-,-,
0,0,-92,15,0.0010424,1,-,-,-,-,-,-,
0,0,-91.9,15,0.001039,1,-,-,-,-,-,-,
0,0,-91.8,15,0.0010367,1,-,-,-,-,-,-,
0,0,-91.7,15,0.0010381,1,-,-,-,-,-,-,
0,0,-91.6,15,0.0010437,1,-,-,-,-,-,-,
0,0,-91.5,15,0.0010523,1,-,-,-,-,-,-,
0,0,-91.4,15,0.0010562,1,-,-,-,-,-,-,
0,0,-91.3,15,0.0010573,1,-,-,-,-,-,-,
0,0,-91.2,15,0.0010551,1,-,-,-,-,-,-,
0,0,-91.1,15,0.0010514,1,-,-,-,-,-,-,
0,0,-91,15,0.0010492,1,-,-,-,-,-,-,
0,0,-90.9,15,0.0010494,1,-,-,-,-,-,-,
0,0,-90.8,15,0.0010549,1,-,-,-,-,-,-,
0,0,-90.7,15,0.0010601,1,-,-,-,-,-,-,
0,0,-90.6,15,0.0010639,1,-,-,-,-,-,-,
0,0,-90.5,15,0.0010654,1,-,-,-,-,-,-,
0,0,-90.4,15,0.0010658,1,-,-,-,-,-,-,
0,0,-90.3,15,0.0010673,1,-,-,-,-,-,-,
0,0,-90.2,15,0.0010721,1,-,-,-,-,-,-,
0,0,-90.1,15,0.0010752,1,-,-,-,-,-,-,
0,0,-90,15,0.0010785,1,-,-,-,-,-,-,
0,0,-89.9,15,0.0010789,1,-,-,-,-,-,-,
0,0,-89.8,15,0.0010769,1,-,-,-,-,-,-,
0,0,-89.7,15,0.0010796,1,-,-,-,-,-,-,
0,0,-89.6,15,0.0010809,1,-,-,-,-,-,-,
0,0,-89.5,15,0.001086,1,-,-,-,-,-,-,
0,0,-89.4,15,0.0010907,1,-,-,-,-,-,-,
0,0,-89.3,15,0.0010917,1,-,-,-,-,-,-,
0,0,-89.2,15,0.0010979,1,-,-,-,-,-,-,
0,0,-89.1,15,0.0011002,1,-,-,-,-,-,-,
0,0,-89,15,0.0011023,1,-,-,-,-,-,-,
0,0,-88.9,15,0.001105,1,-,-,-,-,-,-,
0,0,-88.8,15,0.0011053,1,-,-,-,-,-,-,
0,0,-88.7,15,0.0011043,1,-,-,-,-,-,-,
0,0,-88.6,15,0.0011047,1,-,-,-,-,-,-,
0,0,-88.5,15,0.0011055,1,-,-,-,-,-,-,
0,0,-88.4,15,0.0011076,1,-,-,-,-,-,-,
0,0,-88.3,15,0.0011102,1,-,-,-,-,-,-,
0,0,-88.2,15,0.0011112,1,-,-,-,-,-,-,
0,0,-88.1,15,0.0011125,1,-,-,-,-,-,-,
0,0,-88,15,0.0011166,1,-,-,-,-,-,-,
0,0,-87.9,15,0.0011213,1,-,-,-,-,-,-,
0,0,-87.8,15,0.0011258,1,-,-,-,-,-,-,
0,0,-87.7,15,0.0011287,1,-,-,-,-,-,-,
0,0,-87.6,15,0.0011264,1,-,-,-,-,-,-,
0,0,-87.5,15,0.0011244,1,-,-,-,-,-,-,
0,0,-87.4,15,0.0011221,1,-,-,-,-,-,-,
0,0,-87.3,15,0.001127,1,-,-,-,-,-,-,
0,0,-87.2,15,0.0011336,1,-,-,-,-,-,-,
0,0,-87.1,15,0.0011413,1,-,-,-,-,-,-,
0,0,-87,15,0.0011483,1,-,-,-,-,-,-,
0,0,-86.9,15,0.001151,1,-,-,-,-,-,-,
0,0,-86.8,15,0.0011523,1,-,-,-,-,-,-,
0,0,-86.7,15,0.0011501,1,-,-,-,-,-,-,
0,0,-86.6,15,0.0011467,1,-,-,-,-,-,-,
0,0,-86.5,15,0.0011466,1,-,-,-,-,-,-,
0,0,-86.4,15,0.0011487,1,-,-,-,-,-,-,
0,0,-86.3,15,0.0011564,1,-,-,-,-,-,-,
0,0,-86.2,15,0.001162,1,-,-,-,-,-,-,
0,0,-86.1,15,0.0011648,1,-,-,-,-,-,-,
0,0,-86,15,0.0011648,1,-,-,-,-,-,-,
0,0,-85.9,15,0.0011626,1,-,-,-,-,-,-,
0,0,-85.8,15,0.0011626,1,-,-,-,-,-,-,
0,0,-85.7,15,0.001168,1,-,-,-,-,-,-,
0,0,-85.6,15,0.0011756,1,-,-,-,-,-,-,
0,0,-85.5,15,0.0011841,1,-,-,-,-,-,-,
0,0,-85.4,15,0.0011881,1,-,-,-,-,-,-,
0,0,-85.3,15,0.0011896,1,-,-,-,-,-,-,
0,0,-85.2,15,0.0011924,1,-,-,-,-,-,-,
0,0,-85.1,15,0.0011959,1,-,-,-,-,-,-,
0,0,-85,15,0.0012012,1,-,-,-,-,-,-,
0,0,-84.9,15,0.0012027,1,-,-,-,-,-,-,
0,0,-84.8,15,0.0012022,1,-,-,-,-,-,-,
0,0,-84.7,15,0.0012022,1,-,-,-,-,-,-,
0,0,-84.6,15,0.001202,1,-,-,-,-,-,-,
0,0,-84.5,15,0.0012038,1,-,-,-,-,-,-,
0,0,-84.4,15,0.0012083,1,-,-,-,-,-,-,
0,0,-84.3,15,0.0012134,1,-,-,-,-,-,-,
0,0,-84.2,15,0.001221,1,-,-,-,-,-,-,
0,0,-84.1,15,0.0012303,1,-,-,-,-,-,-,
0,0,-84,15,0.0012385,1,-,-,-,-,-,-,
0,0,-83.9,15,0.0012427,1,-,-,-,-,-,-,
0,0,-83.8,15,0.0012424,1,-,-,-,-,-,-,
0,0,-83.7,15,0.0012429,1,-,-,-,-,-,-,
0,0,-83.6,15,0.0012432,1,-,-,-,-,-,-,
0,0,-83.5,15,0.0012434,1,-,-,-,-,-,-,
0,0,-83.4,15,0.0012425,1,-,-,-,-,-,-,
0,0,-83.3,15,0.0012401,1,-,-,-,-,-,-,
0,0,-83.2,15,0.0012386,1,-,-,-,-,-,-,
0,0,-83.1,15,0.0012447,1,-,-,-,-,-,-,
0,0,-83,15,0.001251,1,-,-,-,-,-,-,
0,0,-82.9,15,0.0012572,1,-,-,-,-,-,-,
0,0,-82.8,15,0.0012594,1,-,-,-,-,-,-,
0,0,-82.7,15,0.001259,1,-,-,-,-,-,-,
0,0,-82.6,15,0.0012622,1,-,-,-,-,-,-,
0,0,-82.5,15,0.0012682,1,-,-,-,-,-,-,
0,0,-82.4,15,0.0012746,1,-,-,-,-,-,-,
0,0,-82.3,15,0.0012798,1,-,-,-,-,-,-,
0,0,-82.2,15,0.0012819,1,-,-,-,-,-,-,
0,0,-82.1,15,0.001281,1,-,-,-,-,-,-,
0,0,-82,15,0.0012819,1,-,-,-,-,-,-,
0,0,-81.9,15,0.0012843,1,-,-,-,-,-,-,
0,0,-81.8,15,0.0012895,1,-,-,-,-,-,-,
0,0,-81.7,15,0.0012953,1,-,-,-,-,-,-,
0,0,-81.6,15,0.0013035,1,-,-,-,-,-,-,
0,0,-81.5,15,0.0013091,1,-,-,-,-,-,-,
0,0,-81.4,15,0.0013102,1,-,-,-,-,-,-,
0,0,-81.3,15,0.0013101,1,-,-,-,-,-,-,
0,0,-81.2,15,0.0013096,1,-,-,-,-,-,-,
0,0,-81.1,15,0.0013071,1,-,-,-,-,-,-,
0,0,-81,15,0.0013063,1,-,-,-,-,-,-,
0,0,-80.9,15,0.0013047,1,-,-,-,-,-,-,
0,0,-80.8,15,0.0013016,1,-,-,-,-,-,-,
0,0,-80.7,15,0.0013084,1,-,-,-,-,-,-,
0,0,-80.6,15,0.0013133,1,-,-,-,-,-,-,
0,0,-80.5,15,0.0013198,1,-,-,-,-,-,-,
0,0,-80.4,15,0.0013255,1,-,-,-,-,-,-,
0,0,-80.3,15,0.0013265,1,-,-,-,-,-,-,
0,0,-80.2,15,0.0013281,1,-,-,-,-,-,-,
0,0,-80.1,15,0.0013306,1,-,-,-,-,-,-,
0,0,-80,15,0.0013349,1,-,-,-,-,-,-,
0,0,-79.9,15,0.0013407,1,-,-,-,-,-,-,
0,0,-79.8,15,0.001344,1,-,-,-,-,-,-,
0,0,-79.7,15,0.0013443,1,-,-,-,-,-,-,
0,0,-79.6,15,0.0013421,1,-,-,-,-,-,-,
0,0,-79.5,15,0.00134,1,-,-,-,-,-,-,
0,0,-79.4,15,0.0013403,1,-,-,-,-,-,-,
0,0,-79.3,15,0.0013412,1,-,-,-,-,-,-,
0,0,-79.2,15,0.0013451,1,-,-,-,-,-,-,
0,0,-79.1,15,0.0013483,1,-,-,-,-,-,-,
0,0,-79,15,0.0013535,1,-,-,-,-,-,-,
0,0,-78.9,15,0.0013572,1,-,-,-,-,-,-,
0,0,-78.8,15,0.0013601,1,-,-,-,-,-,-,
0,0,-78.7,15,0.0013639,1,-,-,-,-,-,-,
0,0,-78.6,15,0.0013638,1,-,-,-,-,-,-,
0,0,-78.5,15,0.0013637,1,-,-,-,-,-,-,
0,0,-78.4,15,0.0013633,1,-,-,-,-,-,-,
0,0,-78.3,15,0.0013627,1,-,-,-,-,-,-,
0,0,-78.2,15,0.001374,1,-,-,-,-,-,-,
0,0,-78.1,15,0.0013803,1,-,-,-,-,-,-,
0,0,-78,15,0.0013901,1,-,-,-,-,-,-,
0,0,-77.9,15,0.0013924,1,-,-,-,-,-,-,
0,0,-77.8,15,0.0013916,1,-,-,-,-,-,-,
0,0,-77.7,15,0.0013929,1,-,-,-,-,-,-,
0,0,-77.6,15,0.0013918,1,-,-,-,-,-,-,
0,0,-77.5,15,0.0013915,1,-,-,-,-,-,-,
0,0,-77.4,15,0.0013934,1,-,-,-,-,-,-,
0,0,-77.3,15,0.0013983,1,-,-,-,-,-,-,
0,0,-77.2,15,0.0014047,1,-,-,-,-,-,-,
0,0,-77.1,15,0.0014114,1,-,-,-,-,-,-,
0,0,-77,15,0.0014151,1,-,-,-,-,-,-,
0,0,-76.9,15,0.0014151,1,-,-,-,-,-,-,
0,0,-76.8,15,0.0014153,1,-,-,-,-,-,-,
0,0,-76.7,15,0.001414,1,-,-,-,-,-,-,
0,0,-76.6,15,0.0014114,1,-,-,-,-,-,-,
0,0,-76.5,15,0.0014072,1,-,-,-,-,-,-,
0,0,-76.4,15,0.0014055,1,-,-,-,-,-,-,
0,0,-76.3,15,0.0014062,1,-,-,-,-,-,-,
0,0,-76.2,15,0.0014094,1,-,-,-,-,-,-,
0,0,-76.1,15,0.0014134,1,-,-,-,-,-,-,
0,0,-76,15,0.0014163,1,-,-,-,-,-,-,
0,0,-75.9,15,0.0014195,1,-,-,-,-,-,-,
0,0,-75.8,15,0.0014233,1,-,-,-,-,-,-,
0,0,-75.7,15,0.0014269,1,-,-,-,-,-,-,
0,0,-75.6,15,0.0014323,1,-,-,-,-,-,-,
0,0,-75.5,15,0.0014377,1,-,-,-,-,-,-,
0,0,-75.4,15,0.0014468,1,-,-,-,-,-,-,
0,0,-75.3,15,0.0014568,1,-,-,-,-,-,-,
0,0,-75.2,15,0.0014678,1,-,-,-,-,-,-,
0,0,-75.1,15,0.0014752,1,-,-,-,-,-,-,
0,0,-75,15,0.0014764,1,-,-,-,-,-,-,
0,0,-74.9,15,0.0014737,1,-,-,-,-,-,-,
0,0,-74.8,15,0.0014709,1,-,-,-,-,-,-,
0,0,-74.7,15,0.0014726,1,-,-,-,-,-,-,
0,0,-74.6,15,0.0014791,1,-,-,-,-,-,-,
0,0,-74.5,15,0.0014864,1,-,-,-,-,-,-,
0,0,-74.4,15,0.0014909,1,-,-,-,-,-,-,
0,0,-74.3,15,0.0014928,1,-,-,-,-,-,-,
0,0,-74.2,15,0.0014897,1,-,-,-,-,-,-,
0,0,-74.1,15,0.0014845,1,-,-,-,-,-,-,
0,0,-74,15,0.0014818,1,-,-,-,-,-,-,
0,0,-73.9,15,0.0014792,1,-,-,-,-,-,-,
0,0,-73.8,15,0.0014817,1,-,-,-,-,-,-,
0,0,-73.7,15,0.001487,1,-,-,-,-,-,-,
0,0,-73.6,15,0.0014906,1,-,-,-,-,-,-,
0,0,-73.5,15,0.0014923,1,-,-,-,-,-,-,
0,0,-73.4,15,0.0014974,1,-,-,-,-,-,-,
0,0,-73.3,15,0.0015023,1,-,-,-,-,-,-,
0,0,-73.2,15,0.0015095,1,-,-,-,-,-,-,
0,0,-73.1,15,0.0015159,1,-,-,-,-,-,-,
0,0,-73,15,0.0015195,1,-,-,-,-,-,-,
0,0,-72.9,15,0.0015239,1,-,-,-,-,-,-,
0,0,-72.8,15,0.0015323,1,-,-,-,-,-,-,
0,0,-72.7,15,0.0015439,1,-,-,-,-,-,-,
0,0,-72.6,15,0.001553,1,-,-,-,-,-,-,
0,0,-72.5,15,0.0015617,1,-,-,-,-,-,-,
0,0,-72.4,15,0.001564,1,-,-,-,-,-,-,
0,0,-72.3,15,0.0015626,1,-,-,-,-,-,-,
0,0,-72.2,15,0.0015614,1,-,-,-,-,-,-,
0,0,-72.1,15,0.0015579,1,-,-,-,-,-,-,
0,0,-72,15,0.0015577,1,-,-,-,-,-,-,
0,0,-71.9,15,0.0015649,1,-,-,-,-,-,-,
0,0,-71.8,15,0.0015751,1,-,-,-,-,-,-,
0,0,-71.7,15,0.0015883,1,-,-,-,-,-,-,
0,0,-71.6,15,0.001601,1,-,-,-,-,-,-,
0,0,-71.5,15,0.0016108,1,-,-,-,-,-,-,
0,0,-71.4,15,0.001619,1,-,-,-,-,-,-,
0,0,-71.3,15,0.0016251,1,-,-,-,-,-,-,
0,0,-71.2,15,0.0016278,1,-,-,-,-,-,-,
0,0,-71.1,15,0.0016258,1,-,-,-,-,-,-,
0,0,-71,15,0.0016236,1,-,-,-,-,-,-,
0,0,-70.9,15,0.0016258,1,-,-,-,-,-,-,
0,0,-70.8,15,0.0016308,1,-,-,-,-,-,-,
0,0,-70.7,15,0.0016331,1,-,-,-,-,-,-,
0,0,-70.6,15,0.0016346,1,-,-,-,-,-,-,
0,0,-70.5,15,0.0016357,1,-,-,-,-,-,-,
0,0,-70.4,15,0.0016408,1,-,-,-,-,-,-,
0,0,-70.3,15,0.0016502,1,-,-,-,-,-,-,
0,0,-70.2,15,0.0016597,1,-,-,-,-,-,-,
0,0,-70.1,15,0.0016672,1,-,-,-,-,-,-,
0,0,-70,15,0.0016734,1,-,-,-,-,-,-,
0,0,-69.9,15,0.0016794,1,-,-,-,-,-,-,
0,0,-69.8,15,0.0016833,1,-,-,-,-,-,-,
0,0,-69.7,15,0.001687,1,-,-,-,-,-,-,
0,0,-69.6,15,0.0016878,1,-,-,-,-,-,-,
0,0,-69.5,15,0.0016913,1,-,-,-,-,-,-,
0,0,-69.4,15,0.0016962,1,-,-,-,-,-,-,
0,0,-69.3,15,0.0017038,1,-,-,-,-,-,-,
0,0,-69.2,15,0.0017127,1,-,-,-,-,-,-,
0,0,-69.1,15,0.0017205,1,-,-,-,-,-,-,
0,0,-69,15,0.0017231,1,-,-,-,-,-,-,
0,0,-68.9,15,0.0017249,1,-,-,-,-,-,-,
0,0,-68.8,15,0.0017267,1,-,-,-,-,-,-,
0,0,-68.7,15,0.0017365,1,-,-,-,-,-,-,
0,0,-68.6,15,0.0017468,1,-,-,-,-,-,-,
0,0,-68.5,15,0.0017562,1,-,-,-,-,-,-,
0,0,-68.4,15,0.0017664,1,-,-,-,-,-,-,
0,0,-68.3,15,0.0017689,1,-,-,-,-,-,-,
0,0,-68.2,15,0.0017715,1,-,-,-,-,-,-,
0,0,-68.1,15,0.0017737,1,-,-,-,-,-,-,
0,0,-68,15,0.0017769,1,-,-,-,-,-,-,
0,0,-67.9,15,0.0017822,1,-,-,-,-,-,-,
0,0,-67.8,15,0.0017884,1,-,-,-,-,-,-,
0,0,-67.7,15,0.0017938,1,-,-,-,-,-,-,
0,0,-67.6,15,0.0017985,1,-,-,-,-,-,-,
0,0,-67.5,15,0.0018029,1,-,-,-,-,-,-,
0,0,-67.4,15,0.0018075,1,-,-,-,-,-,-,
0,0,-67.3,15,0.0018131,1,-,-,-,-,-,-,
0,0,-67.2,15,0.0018165,1,-,-,-,-,-,-,
0,0,-67.1,15,0.001819,1,-,-,-,-,-,-,
0,0,-67,15,0.0018223,1,-,-,-,-,-,-,
0,0,-66.9,15,0.0018254,1,-,-,-,-,-,-,
0,0,-66.8,15,0.0018337,1,-,-,-,-,-,-,
0,0,-66.7,15,0.0018402,1,-,-,-,-,-,-,
0,0,-66.6,15,0.0018522,1,-,-,-,-,-,-,
0,0,-66.5,15,0.001861,1,-,-,-,-,-,-,
0,0,-66.4,15,0.001869,1,-,-,-,-,-,-,
0,0,-66.3,15,0.0018761,1,-,-,-,-,-,-,
0,0,-66.2,15,0.0018764,1,-,-,-,-,-,-,
0,0,-66.1,15,0.0018787,1,-,-,-,-,-,-,
0,0,-66,15,0.0018835,1,-,-,-,-,-,-,
0,0,-65.9,15,0.0018912,1,-,-,-,-,-,-,
0,0,-65.8,15,0.0019022,1,-,-,-,-,-,-,
0,0,-65.7,15,0.0019121,1,-,-,-,-,-,-,
0,0,-65.6,15,0.0019167,1,-,-,-,-,-,-,
0,0,-65.5,15,0.0019185,1,-,-,-,-,-,-,
0,0,-65.4,15,0.0019172,1,-,-,-,-,-,-,
0,0,-65.3,15,0.001918,1,-,-,-,-,-,-,
0,0,-65.2,15,0.0019199,1,-,-,-,-,-,-,
0,0,-65.1,15,0.0019275,1,-,-,-,-,-,-,
0,0,-65,15,0.0019374,1,-,-,-,-,-,-,
0,0,-64.9,15,0.0019454,1,-,-,-,-,-,-,
0,0,-64.8,15,0.0019509,1,-,-,-,-,-,-,
0,0,-64.7,15,0.0019474,1,-,-,-,-,-,-,
0,0,-64.6,15,0.0019391,1,-,-,-,-,-,-,
0,0,-64.5,15,0.0019319,1,-,-,-,-,-,-,
0,0,-64.4,15,0.0019335,1,-,-,-,-,-,-,
0,0,-64.3,15,0.0019424,1,-,-,-,-,-,-,
0,0,-64.2,15,0.0019543,1,-,-,-,-,-,-,
0,0,-64.1,15,0.0019642,1,-,-,-,-,-,-,
0,0,-64,15,0.0019731,1,-,-,-,-,-,-,
0,0,-63.9,15,0.0019804,1,-,-,-,-,-,-,
0,0,-63.8,15,0.0019848,1,-,-,-,-,-,-,
0,0,-63.7,15,0.0019849,1,-,-,-,-,-,-,
