# Saved: 07-Mar-2013 10:25:21
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*11000000
*PDD*1

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,0,0,0.61123,1,-,-,-,-,-,-,
0,0,0,1,0.61149,1,-,-,-,-,-,-,
0,0,0,2,0.61668,1,-,-,-,-,-,-,
0,0,0,3,0.62982,1,-,-,-,-,-,-,
0,0,0,4,0.67171,1,-,-,-,-,-,-,
0,0,0,5,0.7645,1,-,-,-,-,-,-,
0,0,0,6,0.79898,1,-,-,-,-,-,-,
0,0,0,7,0.8147,1,-,-,-,-,-,-,
0,0,0,8,0.825,1,-,-,-,-,-,-,
0,0,0,9,0.83073,1,-,-,-,-,-,-,
0,0,0,10,0.83437,1,-,-,-,-,-,-,
0,0,0,11,0.83502,1,-,-,-,-,-,-,
0,0,0,12,0.83369,1,-,-,-,-,-,-,
0,0,0,13,0.83166,1,-,-,-,-,-,-,
0,0,0,14,0.82855,1,-,-,-,-,-,-,
0,0,0,15,0.82456,1,-,-,-,-,-,-,
0,0,0,16,0.82067,1,-,-,-,-,-,-,
0,0,0,17,0.81545,1,-,-,-,-,-,-,
0,0,0,18,0.81048,1,-,-,-,-,-,-,
0,0,0,19,0.80515,1,-,-,-,-,-,-,
0,0,0,20,0.79976,1,-,-,-,-,-,-,
0,0,0,21,0.79437,1,-,-,-,-,-,-,
0,0,0,22,0.78897,1,-,-,-,-,-,-,
0,0,0,23,0.78357,1,-,-,-,-,-,-,
0,0,0,24,0.77817,1,-,-,-,-,-,-,
0,0,0,25,0.77277,1,-,-,-,-,-,-,
0,0,0,26,0.76737,1,-,-,-,-,-,-,
0,0,0,27,0.76198,1,-,-,-,-,-,-,
0,0,0,28,0.75658,1,-,-,-,-,-,-,
0,0,0,29,0.75118,1,-,-,-,-,-,-,
0,0,0,30,0.74578,1,-,-,-,-,-,-,
0,0,0,31,0.74066,1,-,-,-,-,-,-,
0,0,0,32,0.73554,1,-,-,-,-,-,-,
0,0,0,33,0.73042,1,-,-,-,-,-,-,
0,0,0,34,0.7253,1,-,-,-,-,-,-,
0,0,0,35,0.72018,1,-,-,-,-,-,-,
0,0,0,36,0.71506,1,-,-,-,-,-,-,
0,0,0,37,0.70994,1,-,-,-,-,-,-,
0,0,0,38,0.70482,1,-,-,-,-,-,-,
0,0,0,39,0.6997,1,-,-,-,-,-,-,
0,0,0,40,0.69458,1,-,-,-,-,-,-,
0,0,0,41,0.68975,1,-,-,-,-,-,-,
0,0,0,42,0.68492,1,-,-,-,-,-,-,
0,0,0,43,0.68009,1,-,-,-,-,-,-,
0,0,0,44,0.67526,1,-,-,-,-,-,-,
0,0,0,45,0.67043,1,-,-,-,-,-,-,
0,0,0,46,0.6656,1,-,-,-,-,-,-,
0,0,0,47,0.66077,1,-,-,-,-,-,-,
0,0,0,48,0.65594,1,-,-,-,-,-,-,
0,0,0,49,0.65111,1,-,-,-,-,-,-,
0,0,0,50,0.64628,1,-,-,-,-,-,-,
0,0,0,51,0.64177,1,-,-,-,-,-,-,
0,0,0,52,0.63726,1,-,-,-,-,-,-,
0,0,0,53,0.63276,1,-,-,-,-,-,-,
0,0,0,54,0.62825,1,-,-,-,-,-,-,
0,0,0,55,0.62374,1,-,-,-,-,-,-,
0,0,0,56,0.61923,1,-,-,-,-,-,-,
0,0,0,57,0.61473,1,-,-,-,-,-,-,
0,0,0,58,0.61022,1,-,-,-,-,-,-,
0,0,0,59,0.60571,1,-,-,-,-,-,-,
0,0,0,60,0.6012,1,-,-,-,-,-,-,
0,0,0,61,0.59699,1,-,-,-,-,-,-,
0,0,0,62,0.59278,1,-,-,-,-,-,-,
0,0,0,63,0.58856,1,-,-,-,-,-,-,
0,0,0,64,0.58435,1,-,-,-,-,-,-,
0,0,0,65,0.58013,1,-,-,-,-,-,-,
0,0,0,66,0.57592,1,-,-,-,-,-,-,
0,0,0,67,0.57171,1,-,-,-,-,-,-,
0,0,0,68,0.56749,1,-,-,-,-,-,-,
0,0,0,69,0.56328,1,-,-,-,-,-,-,
0,0,0,70,0.55906,1,-,-,-,-,-,-,
0,0,0,71,0.55516,1,-,-,-,-,-,-,
0,0,0,72,0.55126,1,-,-,-,-,-,-,
0,0,0,73,0.54736,1,-,-,-,-,-,-,
0,0,0,74,0.54345,1,-,-,-,-,-,-,
0,0,0,75,0.53955,1,-,-,-,-,-,-,
0,0,0,76,0.53565,1,-,-,-,-,-,-,
0,0,0,77,0.53175,1,-,-,-,-,-,-,
0,0,0,78,0.52784,1,-,-,-,-,-,-,
0,0,0,79,0.52394,1,-,-,-,-,-,-,
0,0,0,80,0.52004,1,-,-,-,-,-,-,
0,0,0,81,0.51647,1,-,-,-,-,-,-,
0,0,0,82,0.5129,1,-,-,-,-,-,-,
0,0,0,83,0.50934,1,-,-,-,-,-,-,
0,0,0,84,0.50577,1,-,-,-,-,-,-,
0,0,0,85,0.5022,1,-,-,-,-,-,-,
0,0,0,86,0.49863,1,-,-,-,-,-,-,
0,0,0,87,0.49507,1,-,-,-,-,-,-,
0,0,0,88,0.4915,1,-,-,-,-,-,-,
0,0,0,89,0.48793,1,-,-,-,-,-,-,
0,0,0,90,0.48437,1,-,-,-,-,-,-,
0,0,0,91,0.481,1,-,-,-,-,-,-,
0,0,0,92,0.47764,1,-,-,-,-,-,-,
0,0,0,93,0.47428,1,-,-,-,-,-,-,
0,0,0,94,0.47092,1,-,-,-,-,-,-,
0,0,0,95,0.46756,1,-,-,-,-,-,-,
0,0,0,96,0.4642,1,-,-,-,-,-,-,
0,0,0,97,0.46084,1,-,-,-,-,-,-,
0,0,0,98,0.45748,1,-,-,-,-,-,-,
0,0,0,99,0.45412,1,-,-,-,-,-,-,
0,0,0,100,0.45076,1,-,-,-,-,-,-,
0,0,0,101,0.44767,1,-,-,-,-,-,-,
0,0,0,102,0.44458,1,-,-,-,-,-,-,
0,0,0,103,0.44149,1,-,-,-,-,-,-,
0,0,0,104,0.4384,1,-,-,-,-,-,-,
0,0,0,105,0.43531,1,-,-,-,-,-,-,
0,0,0,106,0.43222,1,-,-,-,-,-,-,
0,0,0,107,0.42913,1,-,-,-,-,-,-,
0,0,0,108,0.42604,1,-,-,-,-,-,-,
